date,meditation,mindfulness,breathwork,yoga nidra,guided meditation
2023-06-18,73,17,2,3,3
2023-06-25,72,16,2,3,3
2023-07-02,71,16,2,3,3
2023-07-09,71,17,2,3,3
2023-07-16,73,16,2,3,3
2023-07-23,71,16,2,3,3
2023-07-30,74,15,2,3,3
2023-08-06,72,15,2,3,3
2023-08-13,73,15,2,3,3
2023-08-20,71,17,2,3,3
2023-08-27,70,18,2,3,3
2023-09-03,72,18,2,3,3
2023-09-10,69,19,2,3,3
2023-09-17,74,20,2,3,3
2023-09-24,75,20,2,3,3
2023-10-01,73,19,2,3,3
2023-10-08,72,19,2,3,3
2023-10-15,70,19,2,3,3
2023-10-22,71,19,2,3,3
2023-10-29,66,18,2,3,3
2023-11-05,77,18,2,3,3
2023-11-12,71,18,2,3,3
2023-11-19,67,18,2,3,3
2023-11-26,71,19,2,3,3
2023-12-03,71,17,2,3,3
2023-12-10,67,17,2,3,3
2023-12-17,69,15,2,3,3
2023-12-24,68,12,2,3,3
2023-12-31,73,17,2,3,3
2024-01-07,75,18,3,3,3
2024-01-14,72,18,3,3,3
2024-01-21,73,19,3,3,3
2024-01-28,75,19,3,4,3
2024-02-04,76,21,3,3,3
2024-02-11,73,18,2,3,3
2024-02-18,75,20,3,3,3
2024-02-25,76,19,3,3,3
2024-03-03,74,19,2,3,3
2024-03-10,71,19,2,3,3
2024-03-17,82,19,2,3,3
2024-03-24,72,17,3,3,3
2024-03-31,68,17,3,3,3
2024-04-07,72,18,2,3,3
2024-04-14,65,19,3,3,3
2024-04-21,68,18,3,3,3
2024-04-28,69,18,3,3,3
2024-05-05,63,17,2,3,3
2024-05-12,68,19,2,3,3
2024-05-19,66,18,2,3,3
2024-05-26,64,17,2,3,3
2024-06-02,63,17,2,3,3
2024-06-09,66,17,2,3,3
2024-06-16,65,17,3,3,3
2024-06-23,64,16,3,3,3
2024-06-30,62,16,2,3,3
2024-07-07,63,17,2,3,3
2024-07-14,63,16,2,3,3
2024-07-21,63,16,2,3,3
2024-07-28,62,15,2,3,3
2024-08-04,61,15,2,3,3
2024-08-11,66,16,3,3,3
2024-08-18,62,17,3,3,3
2024-08-25,69,18,2,3,3
2024-09-01,70,18,3,3,3
2024-09-08,67,20,2,3,3
2024-09-15,68,20,2,3,3
2024-09-22,67,20,3,4,3
2024-09-29,63,20,3,3,3
2024-10-06,63,20,2,3,3
2024-10-13,66,20,2,3,3
2024-10-20,65,19,3,3,3
2024-10-27,61,19,3,3,3
2024-11-03,63,24,3,3,3
2024-11-10,67,24,3,3,3
2024-11-17,65,23,3,3,3
2024-11-24,61,21,3,3,3
2024-12-01,63,21,3,3,3
2024-12-08,62,19,3,3,3
2024-12-15,67,16,2,3,2
2024-12-22,61,11,2,2,2
2024-12-29,66,14,3,3,3
2025-01-05,71,20,3,3,3
2025-01-12,72,19,3,3,3
2025-01-19,70,18,3,3,3
2025-01-26,69,19,3,3,3
2025-02-02,67,20,3,3,3
2025-02-09,66,19,3,3,3
2025-02-16,67,19,3,3,3
2025-02-23,63,20,3,3,3
2025-03-02,66,20,3,3,3
2025-03-09,68,18,3,3,3
2025-03-16,66,19,3,3,3
2025-03-23,64,19,3,3,3
2025-03-30,67,19,3,3,3
2025-04-06,67,18,3,3,3
2025-04-13,62,16,3,3,3
2025-04-20,63,17,3,3,3
2025-04-27,60,18,3,3,3
2025-05-04,58,18,3,3,3
2025-05-11,63,18,3,3,3
2025-05-18,58,17,3,3,3
2025-05-25,59,16,3,3,3
2025-06-01,63,18,3,3,3
2025-06-08,61,18,3,3,3
2025-06-15,62,18,3,3,3
2025-06-22,65,18,3,3,3
2025-06-29,59,16,3,3,3
2025-07-06,65,19,3,3,3
2025-07-13,67,17,3,3,3
2025-07-20,70,20,3,3,4
2025-07-27,69,20,4,3,5
