date,keyword,search_interest
2022-05-29,yoga nidra,58
2022-06-05,breathwork,27
2022-06-05,guided meditation,61
2022-06-05,meditation,74
2022-06-05,mindfulness,59
2022-06-05,yoga nidra,62
2022-06-12,breathwork,26
2022-06-12,guided meditation,64
2022-06-12,meditation,77
2022-06-12,mindfulness,57
2022-06-12,yoga nidra,61
2022-06-19,breathwork,26
2022-06-19,guided meditation,66
2022-06-19,meditation,78
2022-06-19,mindfulness,56
2022-06-19,yoga nidra,63
2022-06-26,breathwork,28
2022-06-26,guided meditation,62
2022-06-26,meditation,76
2022-06-26,mindfulness,53
2022-06-26,yoga nidra,58
2022-07-03,breathwork,28
2022-07-03,guided meditation,62
2022-07-03,meditation,75
2022-07-03,mindfulness,53
2022-07-03,yoga nidra,58
2022-07-10,breathwork,30
2022-07-10,guided meditation,66
2022-07-10,meditation,77
2022-07-10,mindfulness,56
2022-07-10,yoga nidra,59
2022-07-17,breathwork,25
2022-07-17,guided meditation,66
2022-07-17,meditation,77
2022-07-17,mindfulness,53
2022-07-17,yoga nidra,61
2022-07-24,breathwork,29
2022-07-24,guided meditation,64
2022-07-24,meditation,76
2022-07-24,mindfulness,52
2022-07-24,yoga nidra,64
2022-07-31,breathwork,27
2022-07-31,guided meditation,61
2022-07-31,meditation,75
2022-07-31,mindfulness,52
2022-07-31,yoga nidra,61
2022-08-07,breathwork,32
2022-08-07,guided meditation,65
2022-08-07,meditation,77
2022-08-07,mindfulness,53
2022-08-07,yoga nidra,63
2022-08-14,breathwork,30
2022-08-14,guided meditation,61
2022-08-14,meditation,79
2022-08-14,mindfulness,54
2022-08-14,yoga nidra,68
2022-08-21,breathwork,29
2022-08-21,guided meditation,66
2022-08-21,meditation,79
2022-08-21,mindfulness,60
2022-08-21,yoga nidra,75
2022-08-28,breathwork,30
2022-08-28,guided meditation,59
2022-08-28,meditation,75
2022-08-28,mindfulness,59
2022-08-28,yoga nidra,70
2022-09-04,breathwork,30
2022-09-04,guided meditation,64
2022-09-04,meditation,75
2022-09-04,mindfulness,59
2022-09-04,yoga nidra,68
2022-09-11,breathwork,27
2022-09-11,guided meditation,67
2022-09-11,meditation,78
2022-09-11,mindfulness,66
2022-09-11,yoga nidra,71
2022-09-18,breathwork,28
2022-09-18,guided meditation,65
2022-09-18,meditation,81
2022-09-18,mindfulness,62
2022-09-18,yoga nidra,68
2022-09-25,breathwork,31
2022-09-25,guided meditation,61
2022-09-25,meditation,75
2022-09-25,mindfulness,61
2022-09-25,yoga nidra,72
2022-10-02,breathwork,30
2022-10-02,guided meditation,65
2022-10-02,meditation,75
2022-10-02,mindfulness,62
2022-10-02,yoga nidra,72
2022-10-09,breathwork,33
2022-10-09,guided meditation,67
2022-10-09,meditation,77
2022-10-09,mindfulness,64
2022-10-09,yoga nidra,77
2022-10-16,breathwork,29
2022-10-16,guided meditation,62
2022-10-16,meditation,79
2022-10-16,mindfulness,66
2022-10-16,yoga nidra,72
2022-10-23,breathwork,30
2022-10-23,guided meditation,59
2022-10-23,meditation,76
2022-10-23,mindfulness,60
2022-10-23,yoga nidra,72
2022-10-30,breathwork,30
2022-10-30,guided meditation,63
2022-10-30,meditation,78
2022-10-30,mindfulness,60
2022-10-30,yoga nidra,69
2022-11-06,breathwork,30
2022-11-06,guided meditation,65
2022-11-06,meditation,79
2022-11-06,mindfulness,64
2022-11-06,yoga nidra,69
2022-11-13,breathwork,32
2022-11-13,guided meditation,65
2022-11-13,meditation,83
2022-11-13,mindfulness,65
2022-11-13,yoga nidra,72
2022-11-20,breathwork,30
2022-11-20,guided meditation,53
2022-11-20,meditation,71
2022-11-20,mindfulness,55
2022-11-20,yoga nidra,66
2022-11-27,breathwork,30
2022-11-27,guided meditation,61
2022-11-27,meditation,75
2022-11-27,mindfulness,63
2022-11-27,yoga nidra,67
2022-12-04,breathwork,31
2022-12-04,guided meditation,60
2022-12-04,meditation,78
2022-12-04,mindfulness,58
2022-12-04,yoga nidra,64
2022-12-11,breathwork,25
2022-12-11,guided meditation,55
2022-12-11,meditation,76
2022-12-11,mindfulness,57
2022-12-11,yoga nidra,67
2022-12-18,breathwork,30
2022-12-18,guided meditation,56
2022-12-18,meditation,73
2022-12-18,mindfulness,48
2022-12-18,yoga nidra,75
2022-12-25,breathwork,28
2022-12-25,guided meditation,54
2022-12-25,meditation,74
2022-12-25,mindfulness,43
2022-12-25,yoga nidra,70
2023-01-01,breathwork,34
2023-01-01,guided meditation,69
2023-01-01,meditation,91
2023-01-01,mindfulness,60
2023-01-01,yoga nidra,77
2023-01-08,breathwork,41
2023-01-08,guided meditation,67
2023-01-08,meditation,84
2023-01-08,mindfulness,64
2023-01-08,yoga nidra,77
2023-01-15,breathwork,37
2023-01-15,guided meditation,66
2023-01-15,meditation,79
2023-01-15,mindfulness,62
2023-01-15,yoga nidra,83
2023-01-22,breathwork,39
2023-01-22,guided meditation,70
2023-01-22,meditation,86
2023-01-22,mindfulness,66
2023-01-22,yoga nidra,85
2023-01-29,breathwork,40
2023-01-29,guided meditation,68
2023-01-29,meditation,82
2023-01-29,mindfulness,66
2023-01-29,yoga nidra,82
2023-02-05,breathwork,40
2023-02-05,guided meditation,70
2023-02-05,meditation,84
2023-02-05,mindfulness,64
2023-02-05,yoga nidra,78
2023-02-12,breathwork,34
2023-02-12,guided meditation,67
2023-02-12,meditation,82
2023-02-12,mindfulness,61
2023-02-12,yoga nidra,85
2023-02-19,breathwork,41
2023-02-19,guided meditation,68
2023-02-19,meditation,87
2023-02-19,mindfulness,66
